,Threads,ValueSize,SubNumber,QoS,Latency
0,25,1024.0,7.0,1.0,31186.666666666668
1,50,1024.0,7.0,1.0,32722.0
2,75,1024.0,7.0,1.0,32571.0
3,100,1024.0,7.0,1.0,33623.0
4,125,1024.0,7.0,1.0,33569.666666666664
5,150,1024.0,7.0,1.0,32120.333333333332
6,175,1024.0,7.0,1.0,32723.333333333332
7,200,1024.0,7.0,1.0,31495.333333333332
8,225,1024.0,7.0,1.0,31581.333333333332
9,250,1024.0,7.0,1.0,31733.0
10,275,1024.0,7.0,1.0,31773.0
11,300,1024.0,7.0,1.0,31249.0
12,325,1024.0,7.0,1.0,32976.666666666664
13,350,1024.0,7.0,1.0,31754.0
14,375,1024.0,7.0,1.0,32638.333333333332
15,400,1024.0,7.0,1.0,32563.0
16,425,1024.0,7.0,1.0,31961.0
17,450,1024.0,7.0,1.0,32441.666666666668
18,475,1024.0,7.0,1.0,32484.333333333332
19,500,1024.0,7.0,1.0,31990.0
