,Threads,Throughput,Latency,ValueSize,Ratio
0,10,3262.782992666667,1.7911743333333334,1024,0.05000000000000001
1,20,5474.062715,2.0780103333333337,1024,0.05000000000000001
2,30,7687.313123,2.481323,1024,0.05000000000000001
3,40,9782.884349,2.7620679999999997,1024,0.05000000000000001
4,50,11893.416282,3.261957666666666,1024,0.05000000000000001
5,60,11592.860412,4.087186666666667,1024,0.05000000000000001
6,70,12669.737762333332,4.395385666666667,1024,0.05000000000000001
7,80,15138.956638000001,4.507593666666666,1024,0.05000000000000001
8,90,15122.580516333333,5.503201999999999,1024,0.05000000000000001
9,100,16060.479111125,4.949513625,1024,0.049999999999999996
10,200,21306.075073666667,11.333550333333335,1024,0.05000000000000001
11,300,23708.494362333335,17.801523333333332,1024,0.05000000000000001
12,400,26492.08462733333,31.317542000000003,1024,0.05000000000000001
13,500,27920.382373333337,30.727392,1024,0.05000000000000001
14,600,26191.72336866667,42.91055766666667,1024,0.05000000000000001
15,700,29640.684074666668,39.717497333333334,1024,0.05000000000000001
16,800,28578.631631666667,45.89188633333333,1024,0.05000000000000001
17,900,29800.87636933333,47.109250333333335,1024,0.05000000000000001
