,Threads,Throughput,Latency,Request,ReadWrite
0,5,694.4604680000001,9.0,1024,0.05000000000000001
1,10,967.615891,13.666666666666666,1024,0.05000000000000001
2,15,1049.6501173333334,18.0,1024,0.05000000000000001
3,20,1142.8365553333333,22.0,1024,0.05000000000000001
4,25,888.7600753333332,32.666666666666664,1024,0.05000000000000001
5,30,653.0504586666666,56.0,1024,0.05000000000000001
6,35,1146.1852316666666,36.666666666666664,1024,0.05000000000000001
7,40,507.19828666666666,96.33333333333333,1024,0.05000000000000001
8,45,612.927251,120.66666666666667,1024,0.05000000000000001
9,50,379.1881986666667,164.66666666666666,1024,0.05000000000000001
10,55,243.59136466666666,243.66666666666666,1024,0.05000000000000001
11,60,250.38051166666665,322.3333333333333,1024,0.05000000000000001
12,65,245.522493,315.5,1024,0.05
13,70,260.0150773333333,404.0,1024,0.05000000000000001
14,75,268.02543966666667,445.3333333333333,1024,0.05000000000000001
